,new_address,latitude,longitude,country
0,"01-07 North Bridge Rd, Singapore 123456",1.2909969,103.8504377,SG
1,123 Genting Lane 03-01 Singapore 349574,1.3240010715423,103.878608574232,SG
2,"Admiralty Link, Block 491, Singapore 750491",1.45612169974883,103.817716476882,SG
3,"1 Scotts road, 22-14, Singapore, Singapore 228208",1.306185948,103.8319802,SG
4,Singapore 730881  12-46,1.44449517444931,103.791960857117,SG
5,Blk 406A Northshore Drive 12-140 821406,1.2909969,103.8504377,SG
6,1 Geylang East Ave 02-01 389778,1.3157909524453,103.884466818322,SG
7,"Mg Comm (Commercial), Block 178 Toa Payoh Central, 01-234, Singapore, Singapore 310178",1.33357691776726,103.849241366238,SG
8,"21 Pandan Ave 05-06 609388 Senkee Logistics Singapore, 05-06 Singapore",1.3008982,103.7484271,SG
9,"46 Jalan Kuras, Singapore 577738",1.37423409930688,103.829686644188,SG
10,34 Upper Cross Street Director 17-140 Singapore 50034,1.28607403933903,103.842331362549,SG
11,12 Tai Seng Street Luxasia Building Level 2 534118,1.33773332436838,103.888163356629,SG
12,"207A, 15-944,Singapore,82  Serangoon Garden Hougang Ponggol,207A Punggol Place 821207",1.40028667914957,103.901012370724,SG
13,"Blk 20 Woodlands Link 07-15,Singapore,20 738733",1.4503751866071,103.811282798642,SG
14,"01-07 North Bridge Rd, Singapore 737775",1.43219358950188,103.799093252799,SG
15,"Bishan Street 13, Block 154, Singapore 07-14 570154",1.34662396640648,103.855027316428,SG
16,"523c Tampines Central 7, Singapore 04-105 523523",1.35989816776014,103.938871281779,SG
17,"Choa Chu Kang Avenue 4, Blk 447 06-375 Singapore 680447",1.38063288856969,103.737541642969,SG
18,"227 Pasir Ris Street 21, Singapore 08-98 510227",1.37151775467991,103.961556934875,SG
19,Blk 1 Toh Yi Drive 13-133 Singapore 590013,1.33873616445365,103.772438331828,SG
20,"12 Upper Serangoon View 01-06, Singapore Rio Vista Condominium 534199",1.37277402989226,103.901954769758,SG
21,"Blk 210,hougang Street 21,03-257 03-257 530210",1.35940177320263,103.886935405527,SG
22,Singapore 637457,1.34540041806809,103.680094247537,SG
23,Block 436C Fernvale Road 06-168 793436,1.39229826474217,103.876958922822,SG
24,356A Anchorvale Lane Plains 07-37 541356,1.393435775,103.884812,SG
25,3GambasCrescentNordcomOne0814SingaporeSingaporeSingaPore 757088,1.4441,103.8139,SG
26,"110 Woodlands Street 13, Singapore 09-136 730110",1.43760183497294,103.781577012664,SG
27,65A Jalan Tenteram 04-13 328958,1.32870274915216,103.858448904853,SG
28,Singapore 681165 09-07,1.38273704578338,103.753517098763,SG
29,"78 Dawson Rd, Singapore 141078 13-51",1.2943765,103.8102377,SG
30,"Singapore, 757088, 3 Gambas CRESCENT07-14,Singapore,75  Yishun Sembawang,3 Crescent 757088",1.4441,103.8139,SG
31,286C Compassvale Cresent 13-117 543286,1.3979,103.8964,SG
32,"42 South Buona Vista Road, Singapore 02-16 118166",1.28115860767765,103.787759973633,SG
33,"5 Lew Lian Vale, Singapore 05-14 537018",1.34825716663426,103.877167057933,SG
34,"39 Woodlands Close 06-33 Mega@woodlands  S(737856)（SG265）,Singapore,73 Kranji Woodgrove,39 737856",1.438,103.8068,SG
35,"334b Yishun Street 31, Singapore 11-97 762334",1.43253302925602,103.845705616559,SG
36,"801 French Rd, Singapore 200801 02-37",1.30736358641342,103.860462374729,SG
37,"298B Compassvale St, Singapore 542298 14-166",1.39548820726371,103.902065252439,SG
38,"Blk 1 Beach Road 01-4747,Singapore,19  Middle Golden Mile,1 190001",1.30367134973049,103.864478658739,SG
